ID,Lat,Long,Country,Villages,Livelihood,Demography,Cultural,Health,Learning,Assets,Flexibility,Agency,Organisation,Sensitivity,AdaptiveCapacity,imp.ssp126.2050,imp.ssp126.2100,imp.ssp245.2050,imp.ssp245.2100,imp.ssp370.2050,imp.ssp370.2100,imp.ssp585.2050,imp.ssp585.2100,corals,seagrass,mangrove,cropcover
BF100,-2.0711021,41.08933994,Kenya,Faza,0.222346154,0.028849267,0.112027027,0.112516923,0.210041538,0.051068885,0.036734205,0.056457692,0.085636154,0.475739371,0.439938475,0.5390089170647226,0.5070329711005105,0.521307434970578,0.5400877358450674,0.5581085221977905,0.5735567004937149,0.5830062369077083,0.5480143640674942,5052746.453501431,5843741.970800561,6545059.324910167,1414136.3927422327
BF101,-2.0711021,41.33933994,Kenya,Kiwayu,0.231741333,0.020203245,0.066756757,0.095573333,0.222435556,0.03202944,0.064075852,0.0557,0.072066667,0.414274669,0.446307514,0.5524481613007871,0.5156489725045899,0.5299590096740605,0.5497993899762826,0.5692700659101182,0.5843206991360443,0.5965864622673569,0.5585632429441874,4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468
BF101,-2.0711021,41.33933994,Kenya,Ndau,0.226930462,0.018555556,0.1,0.114116923,0.201306154,0.034773804,0.058577509,0.050088462,0.086713846,0.45960294,0.431459775,0.5524481613007871,0.5156489725045899,0.5299590096740605,0.5497993899762826,0.5692700659101182,0.5843206991360443,0.5965864622673569,0.5585632429441874,4786737.794361717,9121113.715746386,8644468.54762994,1343840.4080586468
BG99,-2.3211021,40.83933994,Kenya,Matondoni,0.221699,0.031864962,0.111554054,0.140022857,0.194844286,0.055663281,0.048407238,0.053035714,0.088032857,0.505140874,0.439983376,0.5263773117884896,0.5005435379516014,0.5133565470445064,0.5349343804544078,0.5479246358167036,0.5654693363146843,0.5751841548777183,0.5416165675172057,5573811.292188116,8274565.227132752,6808402.824797056,1598336.751420018
BK95,-3.3211021,39.83933994,Kenya,Uyombo,0.263786118,0.030309875,0.093211447,0.109176471,0.200948889,0.052091812,0.073407653,0.060317647,0.102069412,0.49648391,0.488835413,0.5208890757481882,0.49193053738574677,0.5131942877180189,0.5362449768931703,0.5455971931432133,0.5657536239994937,0.5752451632387275,0.5438314360007038,5420009.60805591,5638381.8457952645,5444013.645183466,2068292.8994417496
BK96,-3.3211021,40.08933994,Kenya,Mida,0.290925524,0.022467187,0.101724582,0.13376,0.21316381,0.061483901,0.059417932,0.069942857,0.093208571,0.548877292,0.497217071,0.5406108065440398,0.5089112152283445,0.5282019276934216,0.5546995363172881,0.5650282791570419,0.5864513983330627,0.591572405287368,0.5614922845614931,4529388.747228705,4718758.739717392,5595311.487823924,1936159.2526381323
BO94,-4.3211021,39.58933994,Kenya,Gazi,0.270536821,0.028736895,0.066846847,0.086203077,0.204749744,0.040925139,0.069339165,0.062965385,0.094418462,0.452323639,0.472397894,0.5347864622758272,0.509450605894827,0.5245572974347232,0.5524290879551631,0.5620329286382564,0.5896191126867324,0.5955026930424238,0.5658237137373924,6041615.218674613,5318764.328610396,6320754.226003745,1837027.9139233923
BP93,-4.5711021,39.33933994,Kenya,Vanga,0.33676628,0.022975547,0.070059459,0.1264,0.1960576,0.028791481,0.088765931,0.058446,0.0874212,0.556201287,0.459482213,0.5411025923929819,0.5114135023931345,0.5307847954877779,0.5558147143482257,0.5733282469187906,0.5987046406609523,0.6031522372561376,0.5758074757986364,6563064.689828624,5557209.1562858885,5693829.296317222,1732485.849882813
BQ92,-4.8211021,39.08933994,Tanzania,Boma Subutuni,0.421218761,0.121503075,0.037401245,0.044785599,0.078358014,0.05211359,0.082431684,0.074772713,0.170931076,0.62490868,0.458607076,0.5352566178453134,0.5053053603370489,0.5264748725849094,0.5519453287889281,0.5689916533283933,0.5977600186672691,0.6012922384758563,0.574837094631691,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727
BQ92,-4.8211021,39.08933994,Tanzania,Moa,0.392405984,0.119166011,0.037663971,0.046466432,0.077168691,0.056560765,0.087895564,0.07139035,0.162816759,0.595702398,0.455832128,0.5352566178453134,0.5053053603370489,0.5264748725849094,0.5519453287889281,0.5689916533283933,0.5977600186672691,0.6012922384758563,0.574837094631691,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727
BQ92,-4.8211021,39.08933994,Tanzania,Mwandusi,0.412971084,0.120902702,0.037336144,0.043927124,0.074792951,0.056103993,0.089804142,0.075201432,0.175310127,0.615137053,0.471212645,0.5352566178453134,0.5053053603370489,0.5264748725849094,0.5519453287889281,0.5689916533283933,0.5977600186672691,0.6012922384758563,0.574837094631691,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727
BQ92,-4.8211021,39.08933994,Tanzania,Ndumbani,0.3488512,0.123036971,0.039726673,0.046589816,0.076137156,0.064412539,0.096878099,0.07314337,0.160754669,0.558204659,0.471325833,0.5352566178453134,0.5053053603370489,0.5264748725849094,0.5519453287889281,0.5689916533283933,0.5977600186672691,0.6012922384758563,0.574837094631691,6637803.744203845,6172574.084599667,6400913.550200899,1601365.8873288727
BR92,-5.0711021,39.08933994,Tanzania,Kwale,0.40651269,0.117611614,0.040156303,0.047207693,0.076841926,0.069144183,0.101282734,0.065647979,0.169495943,0.6114883,0.482412765,0.5416477959426985,0.5119703284278864,0.5363530568701206,0.561994455193069,0.5792572406445383,0.6099982646060519,0.6133308312988562,0.5876088722756472,6581443.974703746,5963905.913712723,6298497.425194585,1459401.072551238
BR94,-5.0711021,39.58933994,Tanzania,Mtambwe,0.424471592,0.134969418,0.045877452,0.049799895,0.071485588,0.057928906,0.110655815,0.06662902,0.161798599,0.655118358,0.468497928,0.5676126548773294,0.5312927152399717,0.5552688943535579,0.5884109981430119,0.6030436670046,0.6327242298913942,0.6366286669062409,0.6134639299987942,7436738.644536031,6295450.7151226625,6634588.459374806,1377361.9836621452
BR94,-5.0711021,39.58933994,Tanzania,Gando,0.346379648,0.134142161,0.054650912,0.043226244,0.042675208,0.03749056,0.119252658,0.073334345,0.140358332,0.578398966,0.413111102,0.5676126548773294,0.5312927152399717,0.5552688943535579,0.5884109981430119,0.6030436670046,0.6327242298913942,0.6366286669062409,0.6134639299987942,7436738.644536031,6295450.7151226625,6634588.459374806,1377361.9836621452
BR95,-5.0711021,39.83933994,Tanzania,Kangagani,0.381770161,0.134420226,0.044142243,0.054325556,0.077639323,0.06064554,0.132361547,0.070402771,0.154544198,0.614658186,0.49559337999999997,0.5652578450797497,0.5321673940147078,0.555496802361758,0.5905376324180311,0.6045675262927089,0.6328486521680399,0.6367598407106266,0.6147802375029545,7527101.007538694,6034252.34550472,6064789.969904544,1348180.3735537515
BR95,-5.0711021,39.83933994,Tanzania,Mjini Kiuyu,0.339634462,0.136453842,0.047057633,0.048276964,0.040738543,0.037418702,0.11590246,0.065550155,0.142320095,0.571422902,0.401929956,0.5652578450797497,0.5321673940147078,0.555496802361758,0.5905376324180311,0.6045675262927089,0.6328486521680399,0.6367598407106266,0.6147802375029545,7527101.007538694,6034252.34550472,6064789.969904544,1348180.3735537515
BR95,-5.0711021,39.83933994,Tanzania,Selemu,0.317631488,0.130273484,0.045777302,0.048965216,0.060017365,0.091581229,0.116724177,0.068517089,0.152456384,0.542647489,0.489296244,0.5652578450797497,0.5321673940147078,0.555496802361758,0.5905376324180311,0.6045675262927089,0.6328486521680399,0.6367598407106266,0.6147802375029545,7527101.007538694,6034252.34550472,6064789.969904544,1348180.3735537515
DC127,-14.3211021,47.83933994,Madagascar,Lagnamena,0.24254889600000001,0.088995129,0.102133573,0.10638401,0.127769371,0.038268376,0.079988938,0.077629459,0.135391926,0.540061607,0.459048069,0.499422406066993,0.5632332813476327,0.5612230445127829,0.6073808864955912,0.5769538843047083,0.6594798398637669,0.6472452654633293,0.6121130724805818,3642386.9527244177,5949250.940843325,9484449.856379736,1534876.2223864722
DC128,-14.3211021,48.08933994,Madagascar,Maromanjo,0.271846106,0.080758409,0.132731484,0.100164707,0.123627904,0.0190092,0.076628386,0.074027343,0.148985256,0.585500706,0.442278089,0.48508864111455274,0.5437391188564606,0.5361944918378805,0.5847741719160847,0.5562547980490855,0.6339632286365853,0.6215944597790374,0.5886919802242513,3826796.747106453,6628681.425278988,8623879.440226793,1599424.6801241983
DH123,-15.5711021,46.83933994,Madagascar,Andranoboka,0.258582628,0.089101478,0.104789704,0.115633227,0.118997556,0.064270712,0.073546201,0.075702269,0.120892767,0.568107036,0.453409504,0.4917899123815418,0.5554943947650289,0.54794998863402,0.5896982679569601,0.5558524976916612,0.6463853122748694,0.6265166719905959,0.6044428485330632,2897234.804989664,3991779.378375926,11916323.084079027,1641453.5529897506
DH124,-15.5711021,47.08933994,Madagascar,Besakoa,0.263315011,0.072745856,0.123164047,0.101701651,0.134632763,0.085837867,0.071686739,0.057668272,0.122045137,0.560926564,0.471870778,0.4936944584950194,0.5493667228748961,0.5454266707313036,0.5891476462080005,0.5542923400980688,0.6494522520090777,0.6265848730017697,0.6045044678673747,2927564.1899535973,4140540.656500674,8664943.720406838,1690932.0006133632
DH124,-15.5711021,47.08933994,Madagascar,Tsinjoarivo,0.266733535,0.074323807,0.113443434,0.105990083,0.117985936,0.040801704,0.076112546,0.064344125,0.111637047,0.56049086,0.410881357,0.4936944584950194,0.5493667228748961,0.5454266707313036,0.5891476462080005,0.5542923400980688,0.6494522520090777,0.6265848730017697,0.6045044678673747,2927564.1899535973,4140540.656500674,8664943.720406838,1690932.0006133632
DH125,-15.5711021,47.33933994,Madagascar,Antafiatambalaka,0.255353876,0.068228651,0.119006816,0.090382734,0.124052479,0.068889977,0.057724122,0.094443475,0.134837878,0.532972076,0.479947931,0.4833179535654869,0.5381885193299967,0.5309341386235429,0.5746929085827379,0.5457664890248849,0.6270888542877663,0.6132127846087472,0.5884924868846074,3001389.7366793575,4343853.879122111,11564905.310817702,1734032.55786442
DI123,-15.8211021,46.83933994,Madagascar,Analanabe,0.237812402,0.054894231,0.108075185,0.095115974,0.125525081,0.056057383,0.068888591,0.100790792,0.129224051,0.495897792,0.480485897,0.4932042582262837,0.5527869995591398,0.5478517145326773,0.5902637345455677,0.552396516917748,0.6515291911798161,0.6220683871517707,0.6047373135770568,2911684.3223969596,3996593.9265639405,10967411.735376265,1647680.9643600371
ET70,-25.0711021,33.58933994,Mozambique,Cumbane,0.188145794,0.109504236,0.111795167,0.056883277,0.106944359,0.034175697,0.098301294,0.075220598,0.109460447,0.466328474,0.424102395,0.38490351407884743,0.3966853049630805,0.3900511226970308,0.41991454867689965,0.40019327792741743,0.4469494657640615,0.43160232524302516,0.4143807945714002,1751028.0512925219,2024195.9098857841,3377476.2336093388,1763787.8660883852
ET70,-25.0711021,33.58933994,Mozambique,Mahilene,0.187369155,0.0955061,0.117781583,0.049257814,0.101082095,0.02295089,0.087890035,0.067253855,0.109498651,0.449914651,0.388675526,0.38490351407884743,0.3966853049630805,0.3900511226970308,0.41991454867689965,0.40019327792741743,0.4469494657640615,0.43160232524302516,0.4143807945714002,1751028.0512925219,2024195.9098857841,3377476.2336093388,1763787.8660883852
EW66,-25.8211021,32.58933994,Mozambique,Gazene,0.302244824,0.101520979,0.100894801,0.06438016,0.103348079,0.040086579,0.122661672,0.093861271,0.12874072,0.569040764,0.488698321,0.377761602788208,0.39495048075305456,0.3848794751086341,0.41288171045428135,0.39040703473244204,0.4332344097343489,0.4211820106741407,0.40822374197479433,1570313.1130873326,1797934.0462624666,3613544.7721960465,1722047.1431653553
EX67,-26.0711021,32.83933994,Mozambique,Farol,0.278060257,0.11342308,0.090175359,0.04573158,0.116297231,0.064555647,0.114156523,0.087353092,0.110146004,0.527390275,0.492508496,0.3904758779614755,0.4082355122536485,0.3975599684440201,0.4254420625389644,0.40159180281355333,0.44563035208914675,0.43475153978817566,0.42153629688658756,1521633.83918842,1742849.9908100555,3913520.680775218,1583614.2573444436
